,price,year,transmission,mileage,fuelType,tax,mpg,engineSize,model
1021,8850,3,1,16913,1,125,54.3,1.2,1
1025,7698,6,1,8487,1,30,54.3,1.2,1
1032,13495,2,1,14000,0,145,88.3,1.5,1
1044,10498,2,1,8163,1,150,55.4,1.1,1
1045,7298,4,1,33349,1,125,54.3,1.2,1
1055,7995,3,1,18250,1,125,54.3,1.2,1
1057,7430,3,1,12370,1,125,54.3,1.2,1
1058,6999,5,1,27425,1,125,54.3,1.2,1
1061,7713,3,1,12370,1,125,54.3,1.2,1
1077,5491,6,1,60259,1,30,54.3,1.2,1
1081,10850,1,1,14669,1,145,58.9,1,1
1087,14021,1,0,5489,1,145,48.7,1,1
1093,8640,4,1,17782,1,125,54.3,1.2,1
1096,7495,4,1,28805,1,125,54.3,1.2,1
1101,12991,1,1,13505,1,150,58.9,1,1
1102,15980,0,1,2489,1,150,55.4,1,1
1109,10760,2,1,12849,1,145,58.9,1,1
1110,11030,2,1,20271,1,145,65.7,1,1
1111,10870,2,1,19733,1,145,65.7,1,1
1117,6691,6,1,33391,1,30,54.3,1.2,1
1121,7998,4,1,20777,1,125,54.3,1.2,1
1130,10120,2,1,3665,1,145,64.2,1.1,1
1136,6250,6,1,38906,1,30,54.3,1.2,1
1141,10491,3,1,13326,1,145,65.7,1,1
1146,9981,2,1,4399,1,145,64.2,1.1,1
1149,8770,3,1,17974,1,125,54.3,1.2,1
1150,6991,5,1,29012,1,125,54.3,1.2,1
1151,9290,3,1,20286,1,145,65.7,1,1
1152,12990,2,1,11814,1,145,57.7,1,1
1153,10490,2,1,22345,1,145,58.9,1,1
1156,11150,3,1,9919,1,145,65.7,1,1
1160,9607,3,1,6596,1,145,64.2,1.1,1
1164,7180,4,1,27520,1,125,54.3,1.2,1
1165,10060,2,1,26629,1,145,56.5,1,1
1166,9880,2,1,20860,1,145,65.7,1,1
1167,10290,2,1,14696,1,145,58.9,1,1
1168,12880,1,1,9018,1,145,58.9,1,1
1177,11000,3,1,10802,1,145,65.7,1,1
1178,11000,2,1,9000,1,145,65.7,1,1
1179,13860,1,1,10175,1,145,58.9,1,1
1180,15050,1,1,11559,1,145,58.9,1,1
1184,16370,1,0,5206,1,145,48.7,1,1
1187,7960,3,1,34620,1,145,65.7,1,1
1189,13000,1,1,11233,1,145,60.1,1,1
1197,10498,2,1,11421,1,145,65.7,1,1
1198,6998,5,1,30383,1,125,54.3,1.2,1
1200,9998,4,1,23348,1,20,62.8,1,1
1202,13998,1,1,9500,1,150,56.5,1,1
1203,10500,2,1,18266,1,150,65.7,1,1
1208,7498,4,1,25123,1,125,54.3,1.2,1
1209,11298,4,1,5796,1,20,62.8,1,1
1218,9998,3,1,17265,1,145,65.7,1,1
1219,10200,3,1,11743,1,145,64.2,1.1,1
1222,8640,4,1,21763,1,125,54.3,1.2,1
1228,12250,2,1,8000,1,145,65.7,1,1
1231,8500,4,1,19116,1,125,54.3,1.2,1
1232,11000,2,1,8468,1,145,65.7,1,1
1233,10400,2,1,18515,1,145,65.7,1,1
1234,14250,2,1,24038,1,150,60.1,1,1
1242,11498,1,1,9923,1,145,58.9,1,1
1250,8998,3,1,14188,1,125,54.3,1.2,1
1252,5998,5,1,33830,1,30,54.3,1.2,1
1260,8498,3,1,26052,1,125,54.3,1.2,1
1261,10298,2,1,17672,1,145,65.7,1,1
1264,5998,7,1,28514,1,30,54.3,1.2,1
1272,10998,2,1,25169,1,145,56.5,1,1
1273,8498,3,1,20253,1,145,54.3,1.2,1
1280,16040,1,1,1891,1,145,58.9,1,1
1281,7591,3,1,27546,1,125,54.3,1.2,1
1284,9998,4,1,33254,1,20,62.8,1,1
1287,5298,6,1,52950,1,30,54.3,1.2,1
1295,10710,3,0,12874,1,145,54.3,1,1
1299,8940,2,1,6310,1,145,64.2,1.1,1
1311,6570,7,1,33026,1,30,54.3,1.2,1
1315,8791,3,1,34617,1,145,64.2,1.1,1
1317,8240,4,1,30152,1,20,62.8,1,1
1319,13120,1,1,1327,1,145,48.7,1.1,1
1325,6391,6,1,43904,1,30,54.3,1.2,1
1326,10917,3,0,8323,1,145,54.3,1,1
1330,8291,3,1,23080,1,145,54.3,1.2,1
1335,8770,2,1,7340,1,145,64.2,1.1,1
1342,10291,2,1,8340,1,145,65.7,1,1
1345,10100,2,1,10748,1,145,65.7,1,1
1353,11200,2,1,11550,1,150,65.7,1,1
1360,16591,1,1,2913,1,145,60.1,1,1
1361,16491,1,1,898,1,145,60.1,1,1
1369,6590,5,1,25737,1,125,54.3,1.2,1
1372,7298,5,1,31387,1,125,54.3,1.2,1
1374,14070,3,1,13106,1,145,47.9,1.6,1
1376,10191,3,1,19068,1,145,65.7,1,1
1385,6791,5,1,40206,1,125,54.3,1.2,1
1389,11998,3,1,9177,1,20,62.8,1,1
1391,15750,0,1,52,1,145,54.3,1,1
1396,10250,2,1,5220,1,145,64.2,1.1,1
1397,10800,3,1,17465,1,145,65.7,1,1
1400,9298,2,1,19448,1,145,64.2,1.1,1
1405,9900,2,1,14825,1,145,64.2,1.1,1
1411,6698,7,1,28685,1,30,54.3,1.2,1
1413,9720,2,1,22038,1,145,65.7,1,1
1414,8691,2,1,12251,1,145,64.2,1.1,1
1417,6880,6,1,25180,1,30,54.3,1.2,1
1419,14990,1,1,6591,1,145,55.4,1,1
1422,9691,3,1,11377,1,145,64.2,1.1,1
1424,10000,2,1,11377,1,145,64.2,1.1,1
1425,14500,2,1,5223,1,145,58.9,1,1
1428,6750,7,1,16072,1,30,54.3,1.2,1
1433,12991,2,1,21528,1,145,61.4,1,1
1434,15500,1,1,4551,1,145,60.1,1,1
1435,9240,3,1,27667,1,145,64.2,1.1,1
1439,7498,4,1,10892,1,125,54.3,1.2,1
1444,10890,4,1,24954,1,145,47.9,1.6,1
1446,6891,6,1,35009,1,30,54.3,1.2,1
1451,9491,2,1,16517,1,145,64.2,1.1,1
1452,9791,2,1,8600,1,145,64.2,1.1,1
1453,5625,7,1,34049,1,30,54.3,1.2,1
1455,12610,1,1,13589,1,145,56.5,1,1
1468,6998,5,1,32775,1,125,54.3,1.2,1
1472,6495,4,1,15083,1,30,54.3,1.2,1
1473,8298,4,1,19062,1,125,54.3,1.2,1
1476,5720,7,1,31998,1,30,54.3,1.2,1
1481,9300,3,1,29885,1,150,65.7,1,1
1496,10291,2,1,8324,1,145,64.2,1.1,1
1497,5820,7,1,46191,1,30,54.3,1.2,1
1498,9280,3,1,10599,1,145,64.2,1.1,1
1499,11750,2,1,13278,1,145,62.8,1,1
1500,6180,6,1,26105,1,30,54.3,1.2,1
1501,15500,1,1,5248,1,145,56.5,1,1
1504,6998,7,1,13603,1,30,54.3,1.2,1
1506,6798,5,1,38271,1,125,54.3,1.2,1
1508,8900,3,1,19937,1,145,64.2,1.1,1
1509,9200,2,1,21000,1,145,65.7,1,1
1510,11900,2,1,9080,1,145,62.8,1,1
1514,10750,2,1,5723,1,145,65.7,1,1
1516,9850,3,1,16600,1,145,64.2,1.1,1
1518,10700,2,1,3329,1,145,65.7,1,1
1520,10200,2,1,12700,1,145,64.2,1.1,1
1522,6000,7,1,34583,1,30,54.3,1.2,1
1525,8190,2,1,44653,1,145,64.2,1.1,1
1530,11200,3,1,12380,1,145,65.7,1,1
1541,7495,3,1,18795,1,125,54.3,1.2,1
1549,8071,4,1,13755,1,125,54.3,1.2,1
1551,8090,3,1,13048,1,125,54.3,1.2,1
1560,19998,1,1,3361,1,145,40.3,1.5,1
1561,14998,1,1,4490,1,145,60.1,1,1
1563,7298,4,1,36228,1,125,54.3,1.2,1
1565,7698,5,1,24015,1,125,54.3,1.2,1
1566,5698,7,1,60351,1,30,54.3,1.2,1
1568,9395,2,1,19000,1,150,64.2,1.1,1
1569,10695,2,1,8151,1,150,58.9,1,1
1572,6895,5,1,51621,1,30,54.3,1.2,1
1574,10490,2,1,25174,1,150,65.7,1,1
1579,7698,4,1,23039,1,125,54.3,1.2,1
1586,8110,3,1,8801,1,145,54.3,1.2,1
1587,6600,6,1,42112,1,30,54.3,1.2,1
1604,7660,4,1,18839,1,125,54.3,1.2,1
1607,7991,3,1,25316,1,145,54.3,1.2,1
1609,10991,2,1,24793,1,145,65.7,1,1
1616,10540,2,1,14435,1,145,65.7,1,1
1617,11245,2,1,25622,1,145,65.7,1,1
1618,10695,2,1,19428,1,145,65.7,1,1
1622,5350,6,1,60700,1,30,54.3,1.2,1
1628,15030,1,1,401,1,145,58.9,1,1
1629,8080,5,1,25897,1,125,54.3,1.2,1
1635,7991,4,1,28137,1,125,54.3,1.2,1
1640,7300,3,1,11498,1,125,54.3,1.2,1
1641,9290,2,1,26907,1,145,64.2,1.1,1
1643,11240,2,1,15669,1,145,65.7,1,1
1645,9750,3,1,16044,1,145,65.7,1,1
1648,5300,6,1,63337,1,30,54.3,1.2,1
1654,8491,2,1,18000,1,150,64.2,1.1,1
1659,13190,1,1,8336,1,145,56.5,1,1
1662,13490,1,1,2230,1,145,58.9,1,1
1663,11991,2,1,25515,1,145,62.8,1,1
1665,8600,4,1,28165,1,125,54.3,1.2,1
1674,7570,3,1,24315,1,125,54.3,1.2,1
1677,8491,3,1,23048,1,145,65.7,1,1
1684,8991,2,1,30500,0,145,88.3,1.5,1
1685,4991,6,1,31400,1,30,54.3,1.2,1
1705,9129,2,1,14562,1,145,64.2,1.1,1
1707,12500,2,1,13773,1,145,62.8,1,1
1711,10656,2,1,6144,1,145,65.7,1,1
1712,7998,3,1,30000,1,150,64.2,1.1,1
1717,7540,3,1,22173,1,125,54.3,1.2,1
1718,6700,5,1,41406,1,125,54.3,1.2,1
1720,6160,6,1,43323,1,30,54.3,1.2,1
1722,12589,2,1,5418,1,145,58.9,1,1
1731,10260,3,1,12588,1,145,65.7,1,1
1733,10498,3,1,14073,1,145,65.7,1,1
1734,13998,1,1,13702,1,145,58.9,1,1
1737,7498,5,1,28325,1,125,54.3,1.2,1
1740,11498,1,1,14604,1,145,58.9,1,1
1743,13998,1,1,16231,1,145,58.9,1,1
1749,8498,4,1,7519,1,125,54.3,1.2,1
1755,13998,1,1,10576,1,145,58.9,1,1
1769,8698,3,1,33465,1,145,65.7,1,1
1776,13998,1,1,11351,1,145,58.9,1,1
1777,7998,4,1,30390,1,125,54.3,1.2,1
1781,16498,1,1,3124,1,145,58.9,1,1
1783,10250,3,1,20965,1,145,65.7,1,1
1789,11750,2,1,6000,1,145,65.7,1,1
1799,11998,1,1,2269,1,150,48.7,1.1,1
1803,12995,2,1,11340,1,145,62.8,1,1
1814,8800,2,1,4065,1,145,64.2,1.1,1
1816,10500,2,1,6636,1,145,65.7,1,1
1818,11450,3,1,5551,1,20,62.8,1,1
1819,10400,3,1,17542,1,20,62.8,1,1
1820,8000,3,1,25219,1,145,54.3,1.2,1
1821,11300,3,1,13931,1,145,65.7,1,1
1828,7500,4,1,24987,1,125,54.3,1.2,1
1832,13000,1,1,13246,1,145,58.9,1,1
1834,10400,3,1,15517,1,145,65.7,1,1
1836,11200,2,1,12882,1,145,65.7,1,1
1838,10495,3,1,15206,1,145,65.7,1,1
1852,7498,5,1,27758,1,125,54.3,1.2,1
1857,9998,3,1,17227,1,145,65.7,1,1
1871,11798,1,1,4220,1,150,48.7,1.1,1
1873,11998,1,1,18659,1,145,56.5,1,1
1879,7298,3,1,22444,1,145,54.3,1.2,1
1881,13998,1,1,10616,1,145,58.9,1,1
1884,7820,3,1,16782,1,125,54.3,1.2,1
1889,8600,4,1,18316,1,125,54.3,1.2,1
1890,9700,4,1,8854,1,125,54.3,1.2,1
1895,9300,3,1,14350,1,145,64.2,1.1,1
1897,9600,3,1,12946,1,145,64.2,1.1,1
1898,7800,3,1,15800,1,145,54.3,1.2,1
1899,7750,3,1,32344,1,125,54.3,1.2,1
1917,8998,4,1,6146,1,125,54.3,1.2,1
1919,9780,2,1,8829,1,145,55.4,1.1,1
1921,12995,1,1,12420,1,150,65.7,1,1
1922,12995,1,1,12239,1,150,65.7,1,1
1923,12995,1,1,11808,1,150,60.1,1,1
1926,6498,6,1,32303,1,30,54.3,1.2,1
1930,10000,3,1,25243,1,145,65.7,1,1
1938,7298,6,1,30773,1,30,54.3,1.2,1
1940,7998,3,1,42044,1,145,64.2,1.1,1
1941,12498,1,1,15997,1,145,58.9,1,1
1942,5198,7,1,37868,1,30,54.3,1.2,1
1944,10888,2,1,2280,1,145,58.9,1,1
1953,7365,3,1,26858,1,145,54.3,1.2,1
1954,8374,3,1,17226,1,145,54.3,1.2,1
1956,7678,5,1,16023,1,125,54.3,1.2,1
1957,9090,2,1,17200,1,145,64.2,1.1,1
1967,7999,2,1,30800,1,145,64.2,1.1,1
1968,5622,6,1,54770,1,30,54.3,1.2,1
1972,12900,1,1,12128,1,145,58.9,1,1
1978,8400,3,1,14448,1,145,54.3,1.2,1
1981,7580,4,1,33056,1,125,54.3,1.2,1
1983,10995,1,1,6928,1,145,55.4,1.1,1
1984,12995,1,1,8,1,145,55.4,1.1,1
1985,12995,1,1,7,1,145,55.4,1.1,1
1988,8975,2,1,20884,1,145,65.7,1,1
1990,11298,1,1,13733,1,145,58.9,1,1
1991,10398,1,1,16114,1,145,55.4,1.1,1
1992,11298,1,1,13546,1,145,58.9,1,1
2001,13598,1,1,10348,1,145,58.9,1,1
2005,9750,2,1,24788,1,145,65.7,1,1
2009,13498,1,1,13723,1,145,58.9,1,1
2011,19698,1,1,5234,1,145,40.3,1.5,1
2021,9295,3,1,22619,1,145,65.7,1,1
2026,5995,5,1,63305,1,125,54.3,1.2,1
2035,11498,1,1,5262,1,150,48.7,1.1,1
2038,14995,0,1,1798,1,145,56.5,1,1
2040,11698,2,1,5620,1,145,65.7,1,1
2041,10498,2,1,10356,1,145,65.7,1,1
2046,4698,7,1,69315,1,30,54.3,1.2,1
2049,7698,4,1,33286,1,125,54.3,1.2,1
2054,5498,7,1,69990,1,30,54.3,1.2,1
2061,12595,1,1,11086,0,150,55.4,1.5,1
2065,14995,2,1,16504,1,145,40.3,1.5,1
2073,5495,6,1,55259,1,30,54.3,1.2,1
2075,9995,2,1,14368,1,145,64.2,1.1,1
2081,10995,1,1,28798,1,145,56.5,1,1
2083,7295,3,1,15649,1,125,54.3,1.2,1
2085,4295,6,1,72121,1,30,54.3,1.2,1
2086,11350,2,1,20824,1,150,65.7,1,1
2089,6500,7,1,25600,1,30,54.3,1.2,1
2094,10700,2,1,17247,1,145,65.7,1,1
2096,6490,7,1,30155,1,30,54.3,1.2,1
2102,10800,3,1,17594,1,145,65.7,1,1
2107,7995,4,1,28694,1,125,54.3,1.2,1
2123,11500,2,1,13199,1,145,56.5,1,1
2124,11400,1,1,3874,1,145,58.9,1,1
2141,12000,2,1,8538,1,150,56.5,1,1
2142,12990,1,1,4675,1,150,56.5,1,1
2148,14200,2,1,9947,1,145,55.4,1,1
2152,10250,3,1,17549,1,145,65.7,1,1
2155,10000,3,1,25233,1,20,62.8,1,1
2158,10000,2,1,6797,1,150,65.7,1,1
2159,8500,4,1,42000,1,20,62.8,1,1
2160,9790,2,1,5879,1,150,64.2,1.1,1
2167,9995,3,1,27755,1,20,62.8,1,1
2168,10995,2,1,17316,1,145,65.7,1,1
2178,12995,2,1,8578,1,145,58.9,1,1
2182,14500,2,1,4906,1,150,49.6,1,1
2183,10490,2,1,8864,1,150,64.2,1.1,1
2203,5790,7,1,40000,1,30,54.3,1.2,1
2206,12490,2,1,16975,0,145,88.3,1.5,1
2207,13690,1,1,4401,1,145,48.7,1.1,1
